Model,Target,MAE,RMSE,RÂ²,MAPE,Train Time (s),Pred Time (s),Predictions/sec
Gradient Boosting,arr_delay_min,5.990238269039933,8.142581523005413,0.9874851347368453,83.79606295057944,21.787476539611816,0.04399824142456055,621752.1226820995
LightGBM,arr_delay_min,6.378047306576258,9.557759664879189,0.9827569471619291,88.27539978197973,0.2010354995727539,0.011999845504760742,2279696.016848463
Random Forest,arr_delay_min,6.451568923287742,9.021140860201278,0.9846388094728775,96.9689165716033,3.690359115600586,0.04064488410949707,673049.0343213454
XGBoost,arr_delay_min,6.703577518463135,12.672285005119502,0.9696881771087646,87.93953497687431,0.14458656311035156,0.010998249053955078,2487305.0124430954
Decision Tree,arr_delay_min,6.7675571262785486,9.412672084066122,0.9832764756920379,98.18818854772249,0.46341872215270996,0.003998994827270508,6840719.026053777
Linear Regression,arr_delay_min,7.04290787300871,9.218497769503385,0.9839593391193093,84.81586297618041,0.03499865531921387,0.003005504608154297,9101965.74837379
Ridge,arr_delay_min,7.042907992308625,9.218497740708887,0.9839593392195172,84.81586251308664,0.01800084114074707,0.0029985904693603516,9122953.027272005
ElasticNet,arr_delay_min,7.080047436026219,9.249856019737386,0.9838500235667298,85.05856392672764,5.229621648788452,0.002001047134399414,13670842.395329442
Lasso,arr_delay_min,7.114947264466318,9.284269628334584,0.9837296297270802,85.38148280387219,4.3630218505859375,0.003000020980834961,9118602.894699197
CatBoost,arr_delay_min,7.273294276615447,10.043777387884038,0.9809587215383268,96.7469707600338,0.7348089218139648,0.00400233268737793,6835014.012271401
Extra Trees,arr_delay_min,7.304712479223419,9.753825087363234,0.9820422519517985,103.69071470740256,1.3760721683502197,0.03335142135620117,820234.9071672647
KNN,arr_delay_min,10.000657990934346,15.917441815211218,0.9521757145875808,107.59131449057271,0.011003971099853516,1.5721499919891357,17400.375370920105
AdaBoost,arr_delay_min,45.70084769742002,48.471540335526214,0.5565184165100188,634.9262598488331,12.783793449401855,0.17465639114379883,156627.53490353035
